82F0ACF7|MOOD|2025-12-10T21:45:06.9495929|2|10|stress na kaka-review
18ED6245|MOOD|2025-12-10T22:00:07.3034742|4|4|
4E513419|MOOD|2025-12-10T22:16:17.141917|3|10|
5C56AE9B|MOOD|2025-12-10T22:16:23.3890864|2|8|
112FB1F7|MOOD|2025-12-10T22:16:54.2306875|1|8|
859A93F2|MOOD|2025-12-10T22:16:58.766278|1|8|
5719E734|MOOD|2025-12-10T22:19:00.1346142|10|4|
4EE676A3|MOOD|2025-12-10T22:19:19.4936869|10|5|
AC1D743E|MOOD|2025-12-10T22:19:23.6694819|10|5|
FAC8AB36|MOOD|2025-12-10T22:19:34.7977968|10|5|
E107BB08|MOOD|2025-12-10T22:19:40.8464655|10|5|
70BD2C35|MOOD|2025-12-10T22:19:43.3783232|10|5|
A94E457E|MOOD|2025-12-10T22:19:54.345291|1|5|
